確度,部門,プロジェクト名,内外,BIZ,S/L,AOコード,AOコード名,請求先,ヒト・モノ,売上1月,外注費1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
①,ソリ開1,KHD SAPサーバ用SW保守（PA(TIVOL)）200701-210630,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,59702,0,56470,0,3232,0.054,59702,0,56470,0,3232,0.054,59702,0,56470,0,3232,0.054,59702,0,56470,0,3232,0.054,59702,0,56470,0,3232,0.054,59702,0,56465,0,3237,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①,ソリ開1,KHD　SAPサーバ用SW保守（PA(TIVOL)）210701-220630 ,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59702,0,56470,0,3232,0.054,59702,0,56470,0,3232,0.054,59702,0,56470,0,3232,0.054,59702,0,56470,0,3232,0.054,59702,0,56470,0,3232,0.054,59702,0,56470,0,3232,0.054
①,ソリ開1,KHD　SAPサーバ用SW保守（JP1関連）200801-210731,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,146667,0,132402,0,14265,0.097,146667,0,132402,0,14265,0.097,146667,0,132402,0,14265,0.097,146667,0,132402,0,14265,0.097,146667,0,132402,0,14265,0.097,146667,0,132402,0,14265,0.097,146663,0,132396,0,14267,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①,ソリ開1,KHD　SAPサーバ用SW保守（JP1関連）210801-220731,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146667,0,132402,0,14265,0.097,146667,0,132402,0,14265,0.097,146667,0,132402,0,14265,0.097,146667,0,132402,0,14265,0.097,146667,0,132402,0,14265,0.097
①,ソリ開1,KHD　SAPサーバ用ハードウェア保守　200801-210731,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,504290,0,462941,0,41349,0.082,504290,0,462941,0,41349,0.082,504290,0,462941,0,41349,0.082,504290,0,462941,0,41349,0.082,504290,0,462941,0,41349,0.082,504290,0,462941,0,41349,0.082,504286,0,462935,0,41351,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①,ソリ開1,KHD　SAPサーバ用ハードウェア保守　210801-220731,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504290,0,462941,0,41349,0.082,504290,0,462941,0,41349,0.082,504290,0,462941,0,41349,0.082,504290,0,462941,0,41349,0.082,504290,0,462941,0,41349,0.082
①,ソリ開1,KHD　SAPサーバ用ソフトウェア保守　200801-210731,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,160330,0,137224,0,23106,0.144,160330,0,137224,0,23106,0.144,160330,0,137224,0,23106,0.144,160330,0,137224,0,23106,0.144,160330,0,137224,0,23106,0.144,160330,0,137224,0,23106,0.144,160330,0,137228,0,23102,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①,ソリ開1,KHD　SAPサーバ用ソフトウェア保守　210801-220731,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160330,0,137224,0,23106,0.144,160330,0,137224,0,23106,0.144,160330,0,137224,0,23106,0.144,160330,0,137224,0,23106,0.144,160330,0,137224,0,23106,0.144
①,ソリ開1,Webgateway4500保守(20年11月-21年10月),外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,81922,0,58384,0,23538,0.287,81922,0,58384,0,23538,0.287,81922,0,58384,0,23538,0.287,81922,0,58384,0,23538,0.287,81922,0,58384,0,23538,0.287,81922,0,58384,0,23538,0.287,81922,0,58384,0,23538,0.287,81922,0,58384,0,23538,0.287,81922,0,58384,0,23538,0.287,81924,0,58382,0,23542,0.287,0,0,0,0,0,0,0,0,0,0,0,0
②,ソリ開1,Webgateway4500保守(21年11月-21年10月),外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81922,0,58384,0,23538,0.287,81922,0,58384,0,23538,0.287
①,ソリ開1,Web Security Gateway EditionSoftware （2020年10月-2021年9月）,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,89125,0,80250,0,8875,0.1,89125,0,80250,0,8875,0.1,89125,0,80250,0,8875,0.1,89125,0,80250,0,8875,0.1,89125,0,80250,0,8875,0.1,89125,0,80250,0,8875,0.1,89125,0,80250,0,8875,0.1,89125,0,80250,0,8875,0.1,89125,0,80250,0,8875,0.1,48875,0,44008,0,4867,0.1,0,0,0,0,0,0,0,0,0,0,0,0
②,ソリ開1,Web Security Gateway EditionSoftware （2021年10月-2022年9月）,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40250,0,36242,0,4008,0.1,89125,0,80250,0,8875,0.1,89125,0,80250,0,8875,0.1
①,ソリ開1,Web Gateway Anti-Malware（サブスクリプション） （2020年10月-2021年9月）,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,50000,0,31500,0,18500,0.37,50000,0,31500,0,18500,0.37,50000,0,31500,0,18500,0.37,50000,0,31500,0,18500,0.37,50000,0,31500,0,18500,0.37,50000,0,31500,0,18500,0.37,50000,0,31500,0,18500,0.37,50000,0,31500,0,18500,0.37,50000,0,31500,0,18500,0.37,27419,0,17274,0,10145,0.37,0,0,0,0,0,0,0,0,0,0,0,0
②,ソリ開1,Web Gateway Anti-Malware（サブスクリプション） （2021年10月-2022年9月）,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22581,0,14226,0,8355,0.37,50000,0,31500,0,18500,0.37,50000,0,31500,0,18500,0.37
①,ソリ開1,KHD　無線LAN(ランニング費用),外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,27200,0,17600,0,9600,0.353,27200,0,17600,0,9600,0.353,27200,0,17600,0,9600,0.353,27200,0,17600,0,9600,0.353,27200,0,17600,0,9600,0.353,27200,0,17600,0,9600,0.353,27200,0,17600,0,9600,0.353,27200,0,17600,0,9600,0.353,27200,0,17600,0,9600,0.353,27200,0,17600,0,9600,0.353,27200,0,17600,0,9600,0.353,27200,0,17600,0,9600,0.353
①,ソリ開1,KHP　無線LAN(ランニング費用),外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,81600,0,52800,0,28800,0.353,81600,0,52800,0,28800,0.353,81600,0,52800,0,28800,0.353,81600,0,52800,0,28800,0.353,81600,0,52800,0,28800,0.353,81600,0,52800,0,28800,0.353,81600,0,52800,0,28800,0.353,81600,0,52800,0,28800,0.353,81600,0,52800,0,28800,0.353,81600,0,52800,0,28800,0.353,81600,0,52800,0,28800,0.353,81600,0,52800,0,28800,0.353
①,ソリ開1,KP　無線LAN(ランニング費用),外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,51000,0,33000,0,18000,0.353,51000,0,33000,0,18000,0.353,51000,0,33000,0,18000,0.353,51000,0,33000,0,18000,0.353,51000,0,33000,0,18000,0.353,51000,0,33000,0,18000,0.353,51000,0,33000,0,18000,0.353,51000,0,33000,0,18000,0.353,51000,0,33000,0,18000,0.353,51000,0,33000,0,18000,0.353,51000,0,33000,0,18000,0.353,51000,0,33000,0,18000,0.353
①,ソリ開1,KF　無線LAN(ランニング費用),外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,107100,0,69300,0,37800,0.353,107100,0,69300,0,37800,0.353,107100,0,69300,0,37800,0.353,107100,0,69300,0,37800,0.353,107100,0,69300,0,37800,0.353,107100,0,69300,0,37800,0.353,107100,0,69300,0,37800,0.353,107100,0,69300,0,37800,0.353,107100,0,69300,0,37800,0.353,107100,0,69300,0,37800,0.353,107100,0,69300,0,37800,0.353,107100,0,69300,0,37800,0.353
①,ソリ開1,KFI　無線LAN(ランニング費用),外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,3400,0,2200,0,1200,0.353,3400,0,2200,0,1200,0.353,3400,0,2200,0,1200,0.353,3400,0,2200,0,1200,0.353,3400,0,2200,0,1200,0.353,3400,0,2200,0,1200,0.353,3400,0,2200,0,1200,0.353,3400,0,2200,0,1200,0.353,3400,0,2200,0,1200,0.353,3400,0,2200,0,1200,0.353,3400,0,2200,0,1200,0.353,3400,0,2200,0,1200,0.353
①,ソリ開1,KP　新型無線LAN(ランニング費用),外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,76320,0,49500,0,26820,0.351,76320,0,49500,0,26820,0.351,76320,0,49500,0,26820,0.351,76320,0,49500,0,26820,0.351,76320,0,49500,0,26820,0.351,76320,0,49500,0,26820,0.351,76320,0,49500,0,26820,0.351,76320,0,49500,0,26820,0.351,76320,0,49500,0,26820,0.351,76320,0,49500,0,26820,0.351,76320,0,49500,0,26820,0.351,76320,0,49500,0,26820,0.351
①,ソリ開1,KHD　PatentManager用バックアップツールライセンス,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4163,0,3197,0,966,0.232,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231
①,ソリ開1,KHD　アンケートサーバ用バックアップツールライセンス,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4163,0,3197,0,966,0.232,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231,4167,0,3203,0,964,0.231
①,ソリ開1,カネボウ労働組合西日本支部　5年保守　デリバリー保守パック,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,983,0,885,0,98,0.1,983,0,885,0,98,0.1,983,0,885,0,98,0.1,983,0,885,0,98,0.1,983,0,885,0,98,0.1,983,0,885,0,98,0.1,983,0,885,0,98,0.1,983,0,885,0,98,0.1,983,0,885,0,98,0.1,983,0,885,0,98,0.1,983,0,885,0,98,0.1,983,0,885,0,98,0.1
①,ソリ開1,カネボウ労働組合西日本支部　デスクトップPC1台　5年オンサイト保守,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,375,0,247,0,128,0.341,375,0,247,0,128,0.341,375,0,247,0,128,0.341,375,0,247,0,128,0.341,375,0,247,0,128,0.341,375,0,247,0,128,0.341,375,0,247,0,128,0.341,375,0,247,0,128,0.341,375,0,247,0,128,0.341,375,0,247,0,128,0.341,375,0,247,0,128,0.341,375,0,247,0,128,0.341
①,ソリ開1,カネボウ労働組合西日本支部　ウイルスチェック機能 拡張・延長 パック 5年,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,235,0,222,0,13,0.055,235,0,222,0,13,0.055,235,0,222,0,13,0.055,235,0,222,0,13,0.055,235,0,222,0,13,0.055,235,0,222,0,13,0.055,235,0,222,0,13,0.055,235,0,222,0,13,0.055,235,0,222,0,13,0.055,235,0,222,0,13,0.055,235,0,222,0,13,0.055,235,0,222,0,13,0.055
①,ソリ開1,カネボウ労組　西日本支部　McAfee Endpoint Protection,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,1054,0,842,0,212,0.201,1054,0,842,0,212,0.201,1054,0,842,0,212,0.201,1054,0,842,0,212,0.201,1054,0,842,0,212,0.201,1054,0,842,0,212,0.201,1054,0,842,0,212,0.201,1054,0,842,0,212,0.201,1054,0,842,0,212,0.201,1056,0,838,0,218,0.206,1054,0,842,0,212,0.201,1054,0,842,0,212,0.201
①,ソリ開1,カネボウ労組　東日本支部　McAfee Endpoint Protection,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,1265,0,1010,0,255,0.202,1265,0,1010,0,255,0.202,1265,0,1010,0,255,0.202,1265,0,1010,0,255,0.202,1265,0,1010,0,255,0.202,1265,0,1010,0,255,0.202,1265,0,1010,0,255,0.202,1265,0,1010,0,255,0.202,1265,0,1010,0,255,0.202,1265,0,1010,0,255,0.202,1265,0,1010,0,255,0.202,1265,0,1010,0,255,0.202
①,ソリ開1,KHP SQL（SA付）ライセンス（gonntani用）,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,49583,0,47625,0,1958,0.039,49583,0,47625,0,1958,0.039,33596,0,32262,0,1334,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①,ソリ開1,統合ファイルサーバ（ハードウェア）保守更新(202006月-202105月）,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,40210,0,38196,0,2014,0.05,40210,0,38196,0,2014,0.05,40210,0,38196,0,2014,0.05,40210,0,38196,0,2014,0.05,40210,0,38192,0,2018,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①,ソリ開1,統合ファイルサーバ（ハードウェア）保守更新(202106月-202205月）,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40210,0,38196,0,2014,0.05,40210,0,38196,0,2014,0.05,40210,0,38196,0,2014,0.05,40210,0,38196,0,2014,0.05,40210,0,38196,0,2014,0.05,40210,0,38196,0,2014,0.05,40210,0,38196,0,2014,0.05
④,ソリ開1,KP　AS400　ラインプリンターリプレース,外,CIT,6a 情報機器･その他ｿﾌﾄ販売,999,その他,クラシエホールディングス,モノ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,Win10問い合わせ窓口業務,外,CIT,5a 個別運用保守ｻｰﾋﾞｽ,999,その他,クラシエホールディングス,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,基幹LAN更改　cisco保守（5年間）,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,基幹LAN更改　UPS保守（5年間）,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,HCM関連　JP1ライセンス保守費用,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
①,ソリ開1,KHP 予算管理システム保守,外,CIT,2b 個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,405,APL,クラシエホールディングス,モノ,100000,78000,5000,0,17000,0.17,100000,78000,5000,0,17000,0.17,100000,78000,5000,0,17000,0.17,100000,78000,5000,0,17000,0.17,100000,78000,5000,0,17000,0.17,100000,78000,5000,0,17000,0.17,100000,78000,5000,0,17000,0.17,100000,78000,5000,0,17000,0.17,100000,78000,5000,0,17000,0.17,100000,78000,5000,0,17000,0.17,100000,78000,5000,0,17000,0.17,100000,78000,5000,0,17000,0.17
①,ソリ開1,KHP  新型無線LAN(ランニング費用),外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,19080,0,12375,0,6705,0.351,19080,0,12375,0,6705,0.351,19080,0,12375,0,6705,0.351,19080,0,12375,0,6705,0.351,19080,0,12375,0,6705,0.351,19080,0,12375,0,6705,0.351,19080,0,12375,0,6705,0.351,19080,0,12375,0,6705,0.351,19080,0,12375,0,6705,0.351,19080,0,12375,0,6705,0.351,19080,0,12375,0,6705,0.351,19080,0,12375,0,6705,0.351
④,ソリ開1,SAP　RSK関連サーバリプレース（JP1作業）,外,CIT,2a 個別案件型ｼｽﾃﾑ開発,999,その他,クラシエホールディングス,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,サーバルーム指紋認証装置リプレース,外,CIT,6a 情報機器･その他ｿﾌﾄ販売,999,その他,クラシエホールディングス,モノ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,Proxy関連サーバリプレース,外,CIT,6a 情報機器･その他ｿﾌﾄ販売,999,その他,クラシエホールディングス,モノ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,★OutSystems導入支援（上期、気合）,対象外,CIT,2a 個別案件型ｼｽﾃﾑ開発,405,APL,ISID,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,★OutSystems導入支援（下期、気合）,対象外,CIT,2a 個別案件型ｼｽﾃﾑ開発,405,APL,ISID,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,HCM サポートサイト追加開発,内,CIT,2b 個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,405,APL,ISID,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,KHP国際 需給管理システム追加開発,外,CIT,2a 個別案件型ｼｽﾃﾑ開発,405,APL,クラシエホールディングス,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
①,ソリ開1,アンリツ様Orchestrator導入支援,内,CIT,2a 個別案件型ｼｽﾃﾑ開発,405,APL,ISID,ヒト,814000,468000,5000,0,341000,0.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
④,ソリ開1,モスフードサービス様Dynamics365とe-mossles連携,内,CIT,2a 個別案件型ｼｽﾃﾑ開発,405,APL,ISID,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,KPインフラ基盤リプレース,外,CIT,6a 情報機器･その他ｿﾌﾄ販売,999,その他,クラシエホールディングス,モノ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
